,Make,Model,Transmission,Drive_configuration,Engine_capacity,Body_type,Seating,Fuel,crsp_ksh
689,Daihatsu,MOVE CUSTOM X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2689452.7848
690,Daihatsu,"MOVE CUSTOM X""LIMITED SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2959404.093
691,Daihatsu,"MOVE CUSTOM""SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2538548.3268
692,Daihatsu,MOVE L,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2203205.0867999997
693,Daihatsu,MOVE L,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2203205.0867999997
694,Daihatsu,"MOVE L ""SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2206558.5192
695,Daihatsu,"MOVE L""SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2196498.222
696,Daihatsu,MOVE RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2775803.6691
697,Daihatsu,MOVE X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,1978525.1160000002
698,Daihatsu,MOVE X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,1978525.1160000002
699,Daihatsu,"MOVE x""SA II""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,1978525.1160000002
700,Daihatsu,ROCKY G,Continuously variable transmission,2WD,996.0,WAGON,5,PETROL,3356785.8324
701,Daihatsu,ROCKY G,Continuously variable transmission,2WD,996.0,WAGON,5,PETROL,3051623.484
702,Daihatsu,ROCKY PREMIUM G,Continuously variable transmission,2WD,1196.0,WAGON,5,PETROL,3467449.1016
703,Daihatsu,ROCKY PREMIUM G HEV,Continuously variable transmission,2WD,1196.0,WAGON,5,PETROL,3935252.9214
704,Daihatsu,TAFT 2,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2489923.557
705,Daihatsu,TAFT G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2489923.557
706,Daihatsu,TAFT G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2263566.87
707,Daihatsu,TANT X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2783348.892
708,Daihatsu,TANTO,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2800116.0539999995
709,Daihatsu,TANTO  SLOPER X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2682745.92
710,Daihatsu,TANTO CUSTOM RS,Automatic transmission,2WD,658.0,VAN,4,PETROL,3336665.2380000004
711,Daihatsu,TANTO CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3403733.886
712,Daihatsu,TANTO CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2716280.2440000004
713,Daihatsu,"TANTO CUSTOM RS ""TOP EDITION SA II""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2716280.2440000004
714,Daihatsu,TANTO CUSTOM SLOPER CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3495953.2770000002
715,Daihatsu,TANTO CUSTOM SLOPER X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3034856.322
716,Daihatsu,"TANTO CUSTOM SLOPER X""SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2196498.222
717,Daihatsu,"TANTO CUSTOM WELCOME SEAT X""SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2875568.283
718,Daihatsu,TANTO CUSTOM X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3118692.132
719,Daihatsu,TANTO FUNCROSS TURBO,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3034017.9639000003
720,Daihatsu,TANTO SLOPE X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3034856.322
721,Daihatsu,TANTO SLOPER CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3227678.685
722,Daihatsu,TANTO SLOPER X,Continuously variable transmission,2WD,658.0,VAN,5,PETROL,2917486.1880000005
723,Daihatsu,TANTO SLOPER X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2800116.0539999995
724,Daihatsu,TANTO SLOPER X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2682745.92
725,Daihatsu,TANTO WELCOME SEAT IFT  CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3277980.1710000006
726,Daihatsu,"TANTO WELCOME SEAT X""SA III""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2875568.283
727,Daihatsu,TANTO X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2582142.948
728,Daihatsu,TANTO X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2766581.7300000004
729,Daihatsu,"TANTO X""SA II""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2204881.8030000003
730,Daihatsu,TANTO XWLECOME SEAT LIFT X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2833650.3780000005
731,Daihatsu,THOR  G,Continuously variable transmission,2WD,996.0,VAN,5,PETROL,3430561.3452000003
732,Daihatsu,THOR  G,Continuously variable transmission,2WD,996.0,VAN,5,PETROL,2923354.6947000003
733,Daihatsu,THOR CUSTOM G,Continuously variable transmission,2WD,996.0,VAN,5,PETROL,3118692.132
734,Daihatsu,THOR CUSTOM G,Continuously variable transmission,2WD,996.0,VAN,5,PETROL,3226001.9688
735,Daihatsu,THOR CUSTOM G,Continuously variable transmission,2WD,996.0,VAN,5,PETROL,3051623.484
736,Daihatsu,"THOR CUSTOM G TURBO ""SA II""",Continuously variable transmission,2WD,996.0,VAN,5,PETROL,3051623.484
737,Daihatsu,THOR G,Continuously variable transmission,2WD,996.0,VAN,5,PETROL,2625737.5692000003
